specObjID,class_label,u,g,r,i,z,w1,w2,w3,w4,u_g,g_r,color
1721637895917299712,GALAXY,20.39582,18.50271,17.33616,16.70716,16.20381,13.975,13.796,10.993,8.916,1.89311,1.1665500000000009,red
345718094632609792,QSO,18.69273,18.51276,18.46622,18.21758,18.13941,15.138,13.601,10.399,8.402,0.17997000000000085,0.04654000000000025,green
363704729668184064,STAR,20.87823,18.29107,16.99981,16.24553,15.81107,13.687,13.605,11.359,8.564,2.5871599999999972,1.2912600000000012,blue
386244994207344640,GALAXY,22.9475,20.08154,18.43412,17.78084,17.3389,14.514,14.303,12.597,8.375,2.865960000000001,1.6474200000000003,red
8170835780690008064,STAR,20.55337,19.17571,18.49914,18.18913,18.03559,16.671,16.791,12.558,8.873,1.3776600000000023,0.6765699999999981,blue
352422916706560000,GALAXY,20.87066,18.52114,17.34799,16.83145,16.37996,13.764,13.604,12.008,9.152,2.349520000000002,1.1731499999999997,red
1398514792649484288,GALAXY,19.9873,18.79273,18.27427,17.91514,17.71562,16.17,16.259,12.534,8.962,1.1945700000000024,0.5184599999999975,red
4545330861042849792,GALAXY,22.19919,21.71674,20.57059,19.70198,19.23102,15.637,15.71,12.367,8.867,0.48245000000000005,1.1461500000000022,red
8389171578412488704,STAR,18.62951,17.18331,16.71704,16.56406,16.54103,15.337,15.455,12.88,8.736,1.446200000000001,0.46626999999999796,blue
4543166743120730112,QSO,21.5936,19.65204,19.34327,19.19417,19.04595,16.302,15.192,11.211,8.389,1.941559999999999,0.3087699999999991,green
347963028051879936,GALAXY,22.99075,21.35653,19.69348,18.82249,18.38165,14.345,14.11,12.486,9.137,1.6342199999999991,1.6630499999999984,red
338934662325889024,QSO,18.41252,18.27509,18.08103,17.98959,17.98275,14.977,13.485,10.579,8.2,0.13743000000000194,0.19406000000000034,green
3731235948072116224,STAR,20.10846,18.16037,17.31239,16.93002,16.74511,14.765,14.788,12.23,9.432,1.9480900000000005,0.8479799999999997,blue
319803709775177728,QSO,19.00594,18.76664,18.78453,18.65555,18.59646,14.436,13.636,10.665,8.154,0.23930000000000007,-0.017890000000001294,green
4517208921916856320,QSO,21.25493,20.67764,20.52822,20.54292,20.18338,17.488,16.421,12.929,9.213,0.5772900000000014,0.14941999999999922,green
345715620731447296,GALAXY,20.47216,18.75528,17.58863,17.13841,16.80332,14.223,14.088,12.468,9.276,1.7168799999999997,1.1666500000000006,red
363802861080963072,STAR,18.67574,17.49476,17.07946,16.94269,16.85175,15.578,15.584,12.445,9.103,1.1809800000000017,0.41529999999999845,blue
5342484492140697600,GALAXY,25.47855,22.31916,20.38033,19.46152,19.0791,15.219,15.249,12.782,8.863,3.1593899999999984,1.9388299999999994,red
326662738153596928,GALAXY,18.83398,17.60006,16.87173,16.47609,16.19033,13.13,13.095,10.395,7.725,1.2339200000000012,0.7283299999999997,red
331141874402224128,QSO,20.33697,18.53389,17.60138,17.09327,16.75726,13.967,13.309,9.664,6.449,1.8030800000000013,0.9325100000000006,green
529220542457210880,GALAXY,25.97063,20.50735,18.73924,18.1066,17.65534,14.563,14.321,12.662,9.162,5.463280000000001,1.76811,red
409990327366084608,STAR,24.63467,18.67854,17.84485,14.29918,16.16664,12.295,12.318,11.882,9.188,5.956129999999998,0.8336900000000007,blue
1405282313159337984,STAR,24.66768,22.35528,20.19404,19.18774,18.40577,15.471,15.584,11.842,9.138,2.3124000000000002,2.1612399999999994,blue
345676588068661248,GALAXY,19.97363,18.41303,17.51678,17.08199,16.74931,14.387,14.241,11.418,8.969,1.5606000000000009,0.8962499999999984,red
336722715262085120,QSO,19.33106,18.78195,18.72104,18.53797,18.5059,15.431,13.916,10.842,9.019,0.5491100000000024,0.0609099999999998,green
5391010613148538880,GALAXY,23.75541,22.22295,20.67686,19.63449,19.39203,15.07,15.316,12.665,8.91,1.5324600000000004,1.5460899999999995,red
307442450534787072,GALAXY,20.0097,18.44245,17.55073,17.01584,16.69437,13.751,13.395,9.439,7.918,1.5672499999999978,0.8917199999999994,red
346858563051743232,QSO,20.26827,19.69593,18.96297,18.75893,18.15452,14.566,13.596,10.634,8.145,0.5723400000000005,0.732960000000002,green
4298813480486852608,STAR,18.68532,17.73771,17.42152,17.30935,17.2618,16.112,15.561,12.585,8.788,0.947610000000001,0.31618999999999886,blue
